numero,localidad,superficie_km2,población,densidad_hab_km2
1,Usaquén,65.31,501999,7686.40
2,Chapinero,38.15,139701,3661.88
3,Santa Fe,45.17,110048,2436.30
4,San Cristóbal,49.09,404697,8243.98
5,Usme,215.06,457302,2126.39
6,Tunjuelito,9.91,199430,20124.11
7,Bosa,23.93,673077,28126.91
8,Kennedy,38.59,1088443,28205.31
9,Fontibón,33.28,394648,11858.41
10,Engativá,35.88,887080,24723.52
11,Suba,100.56,1218513,12117.27
12,Barrios Unidos,11.90,243465,20459.24
13,Teusaquillo,14.19,153025,10784.00
14,Los Mártires,6.51,99119,15225.65
15,Antonio Nariño,4.88,109176,22372.12
16,Puente Aranda,17.31,258287,14921.25
17,La Candelaria,2.06,24088,11693.20
18,Rafael Uribe Uribe,13.83,374246,27060.44
19,Ciudad Bolívar,130,707569,5442.83
20,Sumapaz,780.96,6531,8.36
